,Sorah_name,Sorah_num,Ayah_num,Ayah_text
25,البقرة,2,19,او كصيب من السماء فيه ظلمات ورعد وبرق يجعلون اصابعهم في اذانهم من الصواعق حذر الموت والله محيط بالكافرين
26,البقرة,2,20,يكاد البرق يخطف ابصارهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصارهم ان الله على كل شيء قدير
27,البقرة,2,21,يا ايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
28,البقرة,2,22,الذي جعل لكم الارض فراشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرات رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون
29,البقرة,2,23,وان كنتم في ريب مما نزلنا على عبدنا فاتوا بسوره من مثله وادعوا شهداءكم من دون الله ان كنتم صادقين
30,البقرة,2,24,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجاره اعدت للكافرين
31,البقرة,2,25,وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمره رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشابها ولهم فيها ازواج مطهره وهم فيها خالدون
32,البقرة,2,26,ان الله لا يستحيي ان يضرب مثلا ما بعوضه فما فوقها فاما الذين امنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفاسقين
33,البقرة,2,27,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اولئك هم الخاسرون
34,البقرة,2,28,كيف تكفرون بالله وكنتم امواتا فاحياكم ثم يميتكم ثم يحييكم ثم اليه ترجعون
35,البقرة,2,29,هو الذي خلق لكم ما في الارض جميعا ثم استوى الى السماء فسواهن سبع سماوات وهو بكل شيء عليم
36,البقرة,2,30,واذ قال ربك للملائكه اني جاعل في الارض خليفه قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون
37,البقرة,2,31,وعلم ادم الاسماء كلها ثم عرضهم على الملائكه فقال انبئوني باسماء هؤلاء ان كنتم صادقين
38,البقرة,2,32,قالوا سبحانك لا علم لنا الا ما علمتنا انك انت العليم الحكيم
39,البقرة,2,33,قال يا ادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السماوات والارض واعلم ما تبدون وما كنتم تكتمون
40,البقرة,2,34,واذ قلنا للملائكه اسجدوا لادم فسجدوا الا ابليس ابى واستكبر وكان من الكافرين
41,البقرة,2,35,وقلنا يا ادم اسكن انت وزوجك الجنه وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجره فتكونا من الظالمين
42,البقرة,2,36,فازلهما الشيطان عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتاع الى حين
43,البقرة,2,37,فتلقى ادم من ربه كلمات فتاب عليه انه هو التواب الرحيم
44,البقرة,2,38,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
45,البقرة,2,39,والذين كفروا وكذبوا باياتنا اولئك اصحاب النار هم فيها خالدون
46,البقرة,2,40,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم واياي فارهبون
47,البقرة,2,41,وامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا باياتي ثمنا قليلا واياي فاتقون
48,البقرة,2,42,ولا تلبسوا الحق بالباطل وتكتموا الحق وانتم تعلمون
49,البقرة,2,43,واقيموا الصلاه واتوا الزكاه واركعوا مع الراكعين
50,البقرة,2,44,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتاب افلا تعقلون
51,البقرة,2,45,واستعينوا بالصبر والصلاه وانها لكبيره الا على الخاشعين
52,البقرة,2,46,الذين يظنون انهم ملاقو ربهم وانهم اليه راجعون
53,البقرة,2,47,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العالمين
54,البقرة,2,48,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعه ولا يؤخذ منها عدل ولا هم ينصرون
55,البقرة,2,49,واذ نجيناكم من ال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم
56,البقرة,2,50,واذ فرقنا بكم البحر فانجيناكم واغرقنا ال فرعون وانتم تنظرون
57,البقرة,2,51,واذ واعدنا موسى اربعين ليله ثم اتخذتم العجل من بعده وانتم ظالمون
58,البقرة,2,52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
59,البقرة,2,53,واذ اتينا موسى الكتاب والفرقان لعلكم تهتدون
60,البقرة,2,54,واذ قال موسى لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الى بارئكم فاقتلوا انفسكم ذلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم
61,البقرة,2,55,واذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهره فاخذتكم الصاعقه وانتم تنظرون
62,البقرة,2,56,ثم بعثناكم من بعد موتكم لعلكم تشكرون
63,البقرة,2,57,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا انفسهم يظلمون
64,البقرة,2,58,واذ قلنا ادخلوا هذه القريه فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطه نغفر لكم خطاياكم وسنزيد المحسنين
65,البقرة,2,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
66,البقرة,2,60,واذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشره عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين
67,البقرة,2,61,واذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها قال اتستبدلون الذي هو ادنى بالذي هو خير اهبطوا مصرا فان لكم ما سالتم وضربت عليهم الذله والمسكنه وباءوا بغضب من الله ذلك بانهم كانوا يكفرون بايات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون
68,البقرة,2,62,ان الذين امنوا والذين هادوا والنصارى والصابئين من امن بالله واليوم الاخر وعمل صالحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
69,البقرة,2,63,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واذكروا ما فيه لعلكم تتقون
70,البقرة,2,64,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
71,البقرة,2,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قرده خاسئين
72,البقرة,2,66,فجعلناها نكالا لما بين يديها وما خلفها وموعظه للمتقين
73,البقرة,2,67,واذ قال موسى لقومه ان الله يامركم ان تذبحوا بقره قالوا اتتخذنا هزوا قال اعوذ بالله ان اكون من الجاهلين
74,البقرة,2,68,قالوا ادع لنا ربك يبين لنا ما هي قال انه يقول انها بقره لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون
75,البقرة,2,69,قالوا ادع لنا ربك يبين لنا ما لونها قال انه يقول انها بقره صفراء فاقع لونها تسر الناظرين
76,البقرة,2,70,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشابه علينا وانا ان شاء الله لمهتدون
77,البقرة,2,71,قال انه يقول انها بقره لا ذلول تثير الارض ولا تسقي الحرث مسلمه لا شيه فيها قالوا الان جئت بالحق فذبحوها وما كادوا يفعلون
78,البقرة,2,72,واذ قتلتم نفسا فاداراتم فيها والله مخرج ما كنتم تكتمون
79,البقرة,2,73,فقلنا اضربوه ببعضها كذلك يحيي الله الموتى ويريكم اياته لعلكم تعقلون
80,البقرة,2,74,ثم قست قلوبكم من بعد ذلك فهي كالحجاره او اشد قسوه وان من الحجاره لما يتفجر منه الانهار وان منها لما يشقق فيخرج منه الماء وان منها لما يهبط من خشيه الله وما الله بغافل عما تعملون
81,البقرة,2,75,افتطمعون ان يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
82,البقرة,2,76,واذا لقوا الذين امنوا قالوا امنا واذا خلا بعضهم الى بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم افلا تعقلون
83,البقرة,2,77,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون
84,البقرة,2,78,ومنهم اميون لا يعلمون الكتاب الا اماني وان هم الا يظنون
85,البقرة,2,79,فويل للذين يكتبون الكتاب بايديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون
86,البقرة,2,80,وقالوا لن تمسنا النار الا اياما معدوده قل اتخذتم عند الله عهدا فلن يخلف الله عهده ام تقولون على الله ما لا تعلمون
87,البقرة,2,81,بلى من كسب سيئه واحاطت به خطيئته فاولئك اصحاب النار هم فيها خالدون
88,البقرة,2,82,والذين امنوا وعملوا الصالحات اولئك اصحاب الجنه هم فيها خالدون
89,البقرة,2,83,واذ اخذنا ميثاق بني اسرائيل لا تعبدون الا الله وبالوالدين احسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا واقيموا الصلاه واتوا الزكاه ثم توليتم الا قليلا منكم وانتم معرضون
90,البقرة,2,84,واذ اخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون انفسكم من دياركم ثم اقررتم وانتم تشهدون
91,البقرة,2,85,ثم انتم هؤلاء تقتلون انفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالاثم والعدوان وان ياتوكم اسارى تفادوهم وهو محرم عليكم اخراجهم افتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم الا خزي في الحياه الدنيا ويوم القيامه يردون الى اشد العذاب وما الله بغافل عما تعملون
92,البقرة,2,86,اولئك الذين اشتروا الحياه الدنيا بالاخره فلا يخفف عنهم العذاب ولا هم ينصرون
93,البقرة,2,87,ولقد اتينا موسى الكتاب وقفينا من بعده بالرسل واتينا عيسى ابن مريم البينات وايدناه بروح القدس افكلما جاءكم رسول بما لا تهوى انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
94,البقرة,2,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون
95,البقرة,2,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنه الله على الكافرين
96,البقرة,2,90,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين
97,البقرة,2,91,واذا قيل لهم امنوا بما انزل الله قالوا نؤمن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون انبياء الله من قبل ان كنتم مؤمنين
98,البقرة,2,92,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وانتم ظالمون
99,البقرة,2,93,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واسمعوا قالوا سمعنا وعصينا واشربوا في قلوبهم العجل بكفرهم قل بئسما يامركم به ايمانكم ان كنتم مؤمنين
100,البقرة,2,94,قل ان كانت لكم الدار الاخره عند الله خالصه من دون الناس فتمنوا الموت ان كنتم صادقين
101,البقرة,2,95,ولن يتمنوه ابدا بما قدمت ايديهم والله عليم بالظالمين
102,البقرة,2,96,ولتجدنهم احرص الناس على حياه ومن الذين اشركوا يود احدهم لو يعمر الف سنه وما هو بمزحزحه من العذاب ان يعمر والله بصير بما يعملون
103,البقرة,2,97,قل من كان عدوا لجبريل فانه نزله على قلبك باذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين
104,البقرة,2,98,من كان عدوا لله وملائكته ورسله وجبريل وميكال فان الله عدو للكافرين
105,البقرة,2,99,ولقد انزلنا اليك ايات بينات وما يكفر بها الا الفاسقون
106,البقرة,2,100,اوكلما عاهدوا عهدا نبذه فريق منهم بل اكثرهم لا يؤمنون
107,البقرة,2,101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتاب كتاب الله وراء ظهورهم كانهم لا يعلمون
108,البقرة,2,102,واتبعوا ما تتلو الشياطين على ملك سليمان وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما انزل على الملكين ببابل هاروت وماروت وما يعلمان من احد حتى يقولا انما نحن فتنه فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من احد الا باذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشتراه ما له في الاخره من خلاق ولبئس ما شروا به انفسهم لو كانوا يعلمون
109,البقرة,2,103,ولو انهم امنوا واتقوا لمثوبه من عند الله خير لو كانوا يعلمون
110,البقرة,2,104,يا ايها الذين امنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا وللكافرين عذاب اليم
111,البقرة,2,105,ما يود الذين كفروا من اهل الكتاب ولا المشركين ان ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم
112,البقرة,2,106,ما ننسخ من ايه او ننسها نات بخير منها او مثلها الم تعلم ان الله على كل شيء قدير
113,البقرة,2,107,الم تعلم ان الله له ملك السماوات والارض وما لكم من دون الله من ولي ولا نصير
114,البقرة,2,108,ام تريدون ان تسالوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالايمان فقد ضل سواء السبيل
115,البقرة,2,109,ود كثير من اهل الكتاب لو يردونكم من بعد ايمانكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتى ياتي الله بامره ان الله على كل شيء قدير
116,البقرة,2,110,واقيموا الصلاه واتوا الزكاه وما تقدموا لانفسكم من خير تجدوه عند الله ان الله بما تعملون بصير
117,البقرة,2,111,وقالوا لن يدخل الجنه الا من كان هودا او نصارى تلك امانيهم قل هاتوا برهانكم ان كنتم صادقين
118,البقرة,2,112,بلى من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون
119,البقرة,2,113,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب كذلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيامه فيما كانوا فيه يختلفون
120,البقرة,2,114,ومن اظلم ممن منع مساجد الله ان يذكر فيها اسمه وسعى في خرابها اولئك ما كان لهم ان يدخلوها الا خائفين لهم في الدنيا خزي ولهم في الاخره عذاب عظيم
121,البقرة,2,115,ولله المشرق والمغرب فاينما تولوا فثم وجه الله ان الله واسع عليم
122,البقرة,2,116,وقالوا اتخذ الله ولدا سبحانه بل له ما في السماوات والارض كل له قانتون
123,البقرة,2,117,بديع السماوات والارض واذا قضى امرا فانما يقول له كن فيكون
124,البقرة,2,118,وقال الذين لا يعلمون لولا يكلمنا الله او تاتينا ايه كذلك قال الذين من قبلهم مثل قولهم تشابهت قلوبهم قد بينا الايات لقوم يوقنون
125,البقرة,2,119,انا ارسلناك بالحق بشيرا ونذيرا ولا تسال عن اصحاب الجحيم
126,البقرة,2,120,ولن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم قل ان هدى الله هو الهدى ولئن اتبعت اهواءهم بعد الذي جاءك من العلم ما لك من الله من ولي ولا نصير
127,البقرة,2,121,الذين اتيناهم الكتاب يتلونه حق تلاوته اولئك يؤمنون به ومن يكفر به فاولئك هم الخاسرون
128,البقرة,2,122,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العالمين
129,البقرة,2,123,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعه ولا هم ينصرون
130,البقرة,2,124,واذ ابتلى ابراهيم ربه بكلمات فاتمهن قال اني جاعلك للناس اماما قال ومن ذريتي قال لا ينال عهدي الظالمين
131,البقرة,2,125,واذ جعلنا البيت مثابه للناس وامنا واتخذوا من مقام ابراهيم مصلى وعهدنا الى ابراهيم واسماعيل ان طهرا بيتي للطائفين والعاكفين والركع السجود
132,البقرة,2,126,واذ قال ابراهيم رب اجعل هذا بلدا امنا وارزق اهله من الثمرات من امن منهم بالله واليوم الاخر قال ومن كفر فامتعه قليلا ثم اضطره الى عذاب النار وبئس المصير
133,البقرة,2,127,واذ يرفع ابراهيم القواعد من البيت واسماعيل ربنا تقبل منا انك انت السميع العليم
134,البقرة,2,128,ربنا واجعلنا مسلمين لك ومن ذريتنا امه مسلمه لك وارنا مناسكنا وتب علينا انك انت التواب الرحيم
135,البقرة,2,129,ربنا وابعث فيهم رسولا منهم يتلو عليهم اياتك ويعلمهم الكتاب والحكمه ويزكيهم انك انت العزيز الحكيم
136,البقرة,2,130,ومن يرغب عن مله ابراهيم الا من سفه نفسه ولقد اصطفيناه في الدنيا وانه في الاخره لمن الصالحين
137,البقرة,2,131,اذ قال له ربه اسلم قال اسلمت لرب العالمين
138,البقرة,2,132,ووصى بها ابراهيم بنيه ويعقوب يا بني ان الله اصطفى لكم الدين فلا تموتن الا وانتم مسلمون
139,البقرة,2,133,ام كنتم شهداء اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدي قالوا نعبد الهك واله ابائك ابراهيم واسماعيل واسحاق الها واحدا ونحن له مسلمون
140,البقرة,2,134,تلك امه قد خلت لها ما كسبت ولكم ما كسبتم ولا تسالون عما كانوا يعملون
141,البقرة,2,135,وقالوا كونوا هودا او نصارى تهتدوا قل بل مله ابراهيم حنيفا وما كان من المشركين
142,البقرة,2,136,قولوا امنا بالله وما انزل الينا وما انزل الى ابراهيم واسماعيل واسحاق ويعقوب والاسباط وما اوتي موسى وعيسى وما اوتي النبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون
143,البقرة,2,137,فان امنوا بمثل ما امنتم به فقد اهتدوا وان تولوا فانما هم في شقاق فسيكفيكهم الله وهو السميع العليم
144,البقرة,2,138,صبغه الله ومن احسن من الله صبغه ونحن له عابدون
145,البقرة,2,139,قل اتحاجوننا في الله وهو ربنا وربكم ولنا اعمالنا ولكم اعمالكم ونحن له مخلصون
146,البقرة,2,140,ام تقولون ان ابراهيم واسماعيل واسحاق ويعقوب والاسباط كانوا هودا او نصارى قل اانتم اعلم ام الله ومن اظلم ممن كتم شهاده عنده من الله وما الله بغافل عما تعملون
147,البقرة,2,141,تلك امه قد خلت لها ما كسبت ولكم ما كسبتم ولا تسالون عما كانوا يعملون
148,البقرة,2,142,سيقول السفهاء من الناس ما ولاهم عن قبلتهم التي كانوا عليها قل لله المشرق والمغرب يهدي من يشاء الى صراط مستقيم
149,البقرة,2,143,وكذلك جعلناكم امه وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا وما جعلنا القبله التي كنت عليها الا لنعلم من يتبع الرسول ممن ينقلب على عقبيه وان كانت لكبيره الا على الذين هدى الله وما كان الله ليضيع ايمانكم ان الله بالناس لرءوف رحيم
150,البقرة,2,144,قد نرى تقلب وجهك في السماء فلنولينك قبله ترضاها فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره وان الذين اوتوا الكتاب ليعلمون انه الحق من ربهم وما الله بغافل عما يعملون
151,البقرة,2,145,ولئن اتيت الذين اوتوا الكتاب بكل ايه ما تبعوا قبلتك وما انت بتابع قبلتهم وما بعضهم بتابع قبله بعض ولئن اتبعت اهواءهم من بعد ما جاءك من العلم انك اذا لمن الظالمين
152,البقرة,2,146,الذين اتيناهم الكتاب يعرفونه كما يعرفون ابناءهم وان فريقا منهم ليكتمون الحق وهم يعلمون
153,البقرة,2,147,الحق من ربك فلا تكونن من الممترين
154,البقرة,2,148,ولكل وجهه هو موليها فاستبقوا الخيرات اين ما تكونوا يات بكم الله جميعا ان الله على كل شيء قدير
155,البقرة,2,149,ومن حيث خرجت فول وجهك شطر المسجد الحرام وانه للحق من ربك وما الله بغافل عما تعملون
156,البقرة,2,150,ومن حيث خرجت فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجه الا الذين ظلموا منهم فلا تخشوهم واخشوني ولاتم نعمتي عليكم ولعلكم تهتدون
157,البقرة,2,151,كما ارسلنا فيكم رسولا منكم يتلو عليكم اياتنا ويزكيكم ويعلمكم الكتاب والحكمه ويعلمكم ما لم تكونوا تعلمون
158,البقرة,2,152,فاذكروني اذكركم واشكروا لي ولا تكفرون
159,البقرة,2,153,يا ايها الذين امنوا استعينوا بالصبر والصلاه ان الله مع الصابرين
160,البقرة,2,154,ولا تقولوا لمن يقتل في سبيل الله اموات بل احياء ولكن لا تشعرون
161,البقرة,2,155,ولنبلونكم بشيء من الخوف والجوع ونقص من الاموال والانفس والثمرات وبشر الصابرين
162,البقرة,2,156,الذين اذا اصابتهم مصيبه قالوا انا لله وانا اليه راجعون
163,البقرة,2,157,اولئك عليهم صلوات من ربهم ورحمه واولئك هم المهتدون
164,البقرة,2,158,ان الصفا والمروه من شعائر الله فمن حج البيت او اعتمر فلا جناح عليه ان يطوف بهما ومن تطوع خيرا فان الله شاكر عليم
165,البقرة,2,159,ان الذين يكتمون ما انزلنا من البينات والهدى من بعد ما بيناه للناس في الكتاب اولئك يلعنهم الله ويلعنهم اللاعنون
166,البقرة,2,160,الا الذين تابوا واصلحوا وبينوا فاولئك اتوب عليهم وانا التواب الرحيم
167,البقرة,2,161,ان الذين كفروا وماتوا وهم كفار اولئك عليهم لعنه الله والملائكه والناس اجمعين
168,البقرة,2,162,خالدين فيها لا يخفف عنهم العذاب ولا هم ينظرون
169,البقرة,2,163,والهكم اله واحد لا اله الا هو الرحمن الرحيم
170,البقرة,2,164,ان في خلق السماوات والارض واختلاف الليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما انزل الله من السماء من ماء فاحيا به الارض بعد موتها وبث فيها من كل دابه وتصريف الرياح والسحاب المسخر بين السماء والارض لايات لقوم يعقلون
171,البقرة,2,165,ومن الناس من يتخذ من دون الله اندادا يحبونهم كحب الله والذين امنوا اشد حبا لله ولو يرى الذين ظلموا اذ يرون العذاب ان القوه لله جميعا وان الله شديد العذاب
172,البقرة,2,166,اذ تبرا الذين اتبعوا من الذين اتبعوا وراوا العذاب وتقطعت بهم الاسباب
173,البقرة,2,167,وقال الذين اتبعوا لو ان لنا كره فنتبرا منهم كما تبرءوا منا كذلك يريهم الله اعمالهم حسرات عليهم وما هم بخارجين من النار
174,البقرة,2,168,يا ايها الناس كلوا مما في الارض حلالا طيبا ولا تتبعوا خطوات الشيطان انه لكم عدو مبين
175,البقرة,2,169,انما يامركم بالسوء والفحشاء وان تقولوا على الله ما لا تعلمون
176,البقرة,2,170,واذا قيل لهم اتبعوا ما انزل الله قالوا بل نتبع ما الفينا عليه اباءنا اولو كان اباؤهم لا يعقلون شيئا ولا يهتدون
177,البقرة,2,171,ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع الا دعاء ونداء صم بكم عمي فهم لا يعقلون
178,البقرة,2,172,يا ايها الذين امنوا كلوا من طيبات ما رزقناكم واشكروا لله ان كنتم اياه تعبدون
179,البقرة,2,173,انما حرم عليكم الميته والدم ولحم الخنزير وما اهل به لغير الله فمن اضطر غير باغ ولا عاد فلا اثم عليه ان الله غفور رحيم
180,البقرة,2,174,ان الذين يكتمون ما انزل الله من الكتاب ويشترون به ثمنا قليلا اولئك ما ياكلون في بطونهم الا النار ولا يكلمهم الله يوم القيامه ولا يزكيهم ولهم عذاب اليم
181,البقرة,2,175,اولئك الذين اشتروا الضلاله بالهدى والعذاب بالمغفره فما اصبرهم على النار
182,البقرة,2,176,ذلك بان الله نزل الكتاب بالحق وان الذين اختلفوا في الكتاب لفي شقاق بعيد
183,البقرة,2,177,ليس البر ان تولوا وجوهكم قبل المشرق والمغرب ولكن البر من امن بالله واليوم الاخر والملائكه والكتاب والنبيين واتى المال على حبه ذوي القربى واليتامى والمساكين وابن السبيل والسائلين وفي الرقاب واقام الصلاه واتى الزكاه والموفون بعهدهم اذا عاهدوا والصابرين في الباساء والضراء وحين الباس اولئك الذين صدقوا واولئك هم المتقون
184,البقرة,2,178,يا ايها الذين امنوا كتب عليكم القصاص في القتلى الحر بالحر والعبد بالعبد والانثى بالانثى فمن عفي له من اخيه شيء فاتباع بالمعروف واداء اليه باحسان ذلك تخفيف من ربكم ورحمه فمن اعتدى بعد ذلك فله عذاب اليم
185,البقرة,2,179,ولكم في القصاص حياه يا اولي الالباب لعلكم تتقون
186,البقرة,2,180,كتب عليكم اذا حضر احدكم الموت ان ترك خيرا الوصيه للوالدين والاقربين بالمعروف حقا على المتقين
187,البقرة,2,181,فمن بدله بعدما سمعه فانما اثمه على الذين يبدلونه ان الله سميع عليم
188,البقرة,2,182,فمن خاف من موص جنفا او اثما فاصلح بينهم فلا اثم عليه ان الله غفور رحيم
189,البقرة,2,183,يا ايها الذين امنوا كتب عليكم الصيام كما كتب على الذين من قبلكم لعلكم تتقون
190,البقرة,2,184,اياما معدودات فمن كان منكم مريضا او على سفر فعده من ايام اخر وعلى الذين يطيقونه فديه طعام مسكين فمن تطوع خيرا فهو خير له وان تصوموا خير لكم ان كنتم تعلمون
